,0,0,0,0,0,0
Cargo Volume,7562.833333333334,7573.666666666667,7533.666666666667,7538.666666666666,7598.999999999999,7525.333333333332
Berth 0,0.5285386308439587,0.38102041590771096,0.5324889951426837,0.4774628111718276,0.4243871432908318,0.4517285215543412
Berth 1,0.48831018518518515,0.34009562841530055,0.5032540224650881,0.4156496660595021,0.41149248633879776,0.40709623557984215
C tt,59:07,54:59,61:10,48:27,,48:56
B tt,56:53,47:31,58:12,49:49,,44:22
D tt,70:45,65:23,71:28,50:37,63:22,51:18
C wt,13:56,6:53,14:48,7:48,,8:09
B wt,14:21,4:12,17:38,9:17,,7:13
D wt,8:35,5:56,18:02,3:18,5:29,4:17
Average Ships in Queue,0.46320346320346323,0.13829787234042554,0.5305676855895196,0.2905982905982906,0.1259259259259259,0.19098712446351931
avg_tempo_storage,32.83261183261184,30.740425531914898,32.46579330422125,53.585470085470085,35.99999999999999,34.06537356321839
avg_berth_waiting_time,12:03,4:00,14:19,7:08,4:30,5:45
avg_mc_waiting_time,1:25,1:36,1:55,0:49,1:10,2:01
avg_waiting_time,13:29,5:37,16:14,7:57,5:41,7:46
avg_storage_waiting_time,14:51,15:37,15:24,9:16,22:45,13:55
avg_Port Operation,38:40,39:27,39:43,33:40,54:23,32:39
avg_total_time,59:33,52:46,61:09,49:14,67:43,47:20
max_waiting_time,103:03,76:39,149:28,112:03,80:34,76:36
Berth 2,,0.334407255616272,,,,
E tt,,,,,85:57,
E wt,,,,,6:29,
